Time(s),Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
21.86,572720,0.924162,5.085284,1.939303,0.389035,-0.318423,-0.235286
24.38,270320,8.087613,2.418144,4.323928,0.19172,-0.599274,0.496153
20.3,452180,-1.154005,8.805874,9.495404,-0.171202,-0.637511,-0.344136
23.1,671920,7.37893,4.22816,5.731719,0.19172,-0.072078,0.199847
2.68,553540,2.193089,11.123461,8.015787,-0.467908,-0.07421,0.36159
54.6,605460,4.271256,10.773908,8.791509,-0.018652,-0.431403,0.588482
30.56,581420,2.351106,4.783615,5.837064,-0.422077,0.682677,0.489225
42.02,638920,13.907918,7.184999,12.344504,0.85138,-0.336827,0.940243
37.32,686140,7.445967,3.96001,5.683835,-0.09153,-0.10472,0.065683
71.24,118660,10.242394,0.02873,2.667141,0.301103,-0.454052,0.025181
48.52,299940,-10.654198,4.951209,6.081272,-0.162675,-0.059155,0.102588
42.84,739600,14.539987,5.729325,8.875306,1.022188,0.17879,0.505507
55.44,752200,4.326323,4.841076,9.552865,1.139785,1.038684,1.611769
62.16,313580,-14.767436,5.971139,6.742072,-0.560504,0.115911,0.024115
10.3,659120,7.843405,4.098873,5.961562,-0.108051,-0.022116,-0.069813
70.52,502400,6.962338,7.460332,5.932832,-0.396629,0.229291,0.094994
22.04,569280,7.149086,4.553771,6.53617,-0.072078,0.015988,-0.037438
43.84,842320,4.520253,6.976704,5.142745,0.336009,-0.574626,-1.166173
24.7,621600,11.628637,6.88333,10.658986,0.722077,-0.308093,1.160005
29.42,835280,8.044518,3.845088,5.377377,-0.039703,0.001332,-0.00453
16.08,612980,15.7323,5.944803,10.216059,1.063161,-0.031927,1.15362
41.74,287680,8.494628,4.572925,1.900996,-0.066482,0.033841,-0.168671
18.62,824480,8.437167,3.53863,5.286397,-0.006928,0.096326,-0.120574
75.8,1355320,7.73806,5.200206,5.224148,0.270193,0.285115,0.170136
6.4,257820,-3.476381,2.513912,2.63841,0.247144,0.17813,-0.082603
25.42,722180,4.850653,0.100556,7.465121,0.665141,0.007982,1.245676
63.16,979740,0.454898,7.465121,5.90889,-0.250208,0.007461,0.385305
16.86,962720,0.881066,0.957681,1.407791,0.07421,0.035306,0.420611
12.04,957900,11.046846,5.525817,5.712565,0.520534,0.937948,-0.570096
31.42,837280,8.082825,3.548207,5.679047,-0.063152,-0.187856,0.02185
69.98,986560,-0.373495,7.747637,5.980716,-0.082337,-0.232755,-0.343337
60.3,403200,8.710106,4.745308,3.069367,-0.10885,0.038904,-0.021583
19.2,668020,7.70933,3.711013,5.453991,-0.079939,0.097126,-0.091796
6.7,553940,6.86657,4.548983,6.684611,-0.077407,-0.036772,0.043433
26.62,577480,5.990293,8.748413,8.09719,-0.15708,0.10885,0.070479
59.2,755960,18.878281,10.601525,5.655105,1.551108,-0.108551,1.459585
34.42,81840,9.437943,-3.428497,4.472369,-0.611665,-0.745829,0.461113
17.64,823500,8.044518,3.859453,5.21936,-0.05609,0.129501,0.042767
17.18,268600,-14.389153,5.061342,8.820239,-0.721047,0.000933,0.056357
32.54,838400,8.37013,4.146757,5.300763,-0.167871,-0.311761,0.081005
16.76,359660,8.781932,4.553771,3.361459,-0.051028,-0.004263,-0.015988
69.66,1349180,8.307879,3.806781,5.90889,-0.070213,-0.087133,-0.077674
31.04,578280,7.31668,4.534618,6.421249,-0.088599,0.026113,-0.021317
22.74,268680,7.412448,1.905785,2.892196,-0.092596,0.127236,-0.246744
48.38,854240,7.881712,4.213795,5.741296,-0.087666,0.102988,-0.149219
9.88,125740,5.942409,4.697424,7.235278,-0.167738,-0.061553,0.051028
64.16,315580,-12.885593,6.114791,6.722919,0.481231,0.097392,-0.307764
12.02,957880,13.259089,8.346188,7.996634,0.402492,0.786864,-0.64404
28.02,944600,3.236961,9.720459,5.396531,-0.449389,1.119809,0.501216
40.68,1320200,7.441179,4.553771,6.296751,0.110449,0.011191,0.03051
10.2,706960,19.740192,8.420407,11.999739,0.755068,-0.407066,0.766242
18.84,361740,8.820239,4.515464,3.428497,-0.083669,0.013057,-0.021583
56.0,1335520,8.686164,5.343858,4.204218,0.157746,0.166006,0.13856
42.62,841100,2.992752,7.627927,4.553771,0.332279,-1.475936,0.915965
2.54,118400,7.374141,4.299986,7.278373,-0.064617,0.40449,0.838158
102.48,534360,-0.052672,6.167464,7.82904,-0.164541,-1.095294,-0.111381
44.24,160100,7.52737,5.104438,2.992752,-0.255005,-0.444726,-0.131366
1.96,807820,7.82904,4.314352,5.750873,-0.062219,0.006528,-0.123905
25.32,1304840,7.819463,4.237737,6.818686,-0.09113,0.158812,0.039703
37.34,584580,7.489063,4.314352,6.315904,-0.085934,-0.008127,0.013723
41.2,287140,8.954314,4.726154,2.590526,-0.16987,-0.342937,-0.011724
77.94,509820,3.696647,8.51857,4.869806,-0.175066,-0.288712,-0.348799
9.02,260440,-10.43872,1.206678,8.614338,0.064084,0.212371,-0.077541
34.72,286140,-12.703634,5.722142,6.469133,0.346002,-0.298038,-0.110449
53.24,169100,7.680599,5.798757,3.5099,-0.563302,-0.642441,-0.641109
58.32,609180,2.355895,10.611102,8.212111,-0.183726,-0.251141,0.445126
22.56,968420,0.014365,1.01993,1.35033,0.106585,-0.067282,0.071412
53.6,859460,7.374141,4.060566,5.228937,-0.106585,0.162942,0.012923
61.52,612380,1.13964,8.207323,7.661446,-0.167338,0.291243,-0.165606
96.24,528120,5.406107,8.279149,6.919243,-0.499217,-1.266763,0.081671
17.24,614140,15.263036,6.133945,9.864111,0.877454,0.062789,1.156281
6.04,437920,2.054225,6.368577,6.631939,-0.552643,0.271392,-0.746495
17.76,263700,10.649409,3.754108,5.152322,0.037571,-0.052493,0.080738
56.28,607140,2.202666,9.399636,7.460332,0.255671,-0.222496,-0.412217
77.62,726440,7.25922,4.046201,5.904101,-0.032908,0.110582,-0.205976
28.86,280280,-7.967903,2.911349,4.845864,0.031975,-0.104187,-0.006262
24.8,823280,-0.962469,8.154651,7.800309,-0.755954,-0.659761,0.337208
40.54,286480,6.555324,4.505888,2.202666,0.092995,0.14309,0.144289
12.78,128640,5.66947,5.329493,5.798757,-0.054225,-0.020384,-0.090331
34.44,683260,8.140285,3.98874,5.521029,-0.095394,0.094994,-0.072211
21.64,670460,7.790732,4.711789,6.215348,0.16907,0.539986,-0.244746
14.32,1293840,6.703765,5.272032,6.23929,-0.211172,-0.007727,0.159611
6.62,1286140,7.431602,4.649539,7.062895,-0.057423,0.033574,0.072078
8.6,559460,4.726154,15.902287,12.378023,-0.063818,0.096459,0.282184
2.06,433940,-1.268927,6.852205,10.079589,0.168538,-0.364787,-0.351064
59.66,402560,8.772355,4.745308,2.99754,-0.070746,0.02145,-0.035173
19.66,818140,0.3304,3.634398,8.954314,-0.367052,0.490291,-0.03877
34.54,631440,12.964602,7.764396,13.64695,1.096152,0.138349,1.401585
65.8,762560,13.888764,4.355053,7.781156,0.502846,-0.149524,1.17384
43.8,91220,8.623915,1.594538,5.889736,-0.21317,0.056623,-0.384505
50.62,296560,9.667787,3.543418,0.105345,-0.054358,0.755554,-0.353862
20.48,669300,8.169016,4.266468,5.774815,-0.188922,-0.152816,0.03051
37.5,84920,7.671022,2.959233,5.803545,-0.126436,-0.314825,0.620724
36.88,982740,0.387861,-0.148441,1.23062,-0.046498,0.045832,0.140026
19.7,716460,5.312734,2.197877,8.939949,0.585324,0.353855,1.14617
9.24,606140,8.37013,6.909666,12.083536,0.703985,0.123982,1.069546
96.3,528180,4.55856,9.878476,7.292738,-0.058489,-0.564634,-0.242081
55.94,704760,7.594408,4.074931,5.544971,-0.06142,-0.026646,-0.139093
30.4,577640,7.326257,4.414908,6.488286,-0.074609,0.002665,-0.010525
51.88,850360,-1.877054,6.785168,8.465898,-0.318023,-0.217966,-0.137894
28.88,576120,7.364564,4.381389,6.435614,-0.085668,0.006662,-0.025181
32.5,1312020,7.714118,5.061342,5.899313,-0.058888,0.241548,-0.233288
63.5,495380,-0.474052,6.50744,7.814674,0.075142,-0.567165,0.009459
61.58,867440,8.039729,3.89776,5.358223,-0.09193,-0.037971,-0.036639
43.18,475060,1.714248,10.433931,8.580819,-0.0429,-0.259934,-0.161077
22.4,268340,9.595961,2.154782,3.318364,-0.176398,0.063285,-0.10472
55.94,972520,-0.483629,7.173028,5.295974,-0.253539,-0.111648,-0.534257
20.2,567440,6.967127,4.544195,6.622362,-0.104853,-0.003331,-0.028645
0.92,432800,4.41012,8.992621,7.953538,-0.035839,-0.281251,-0.001998
14.08,1293600,6.588843,6.047753,5.899313,-0.158145,-0.154548,-0.324951
104.06,535940,1.244985,5.640739,6.976704,-0.053292,-0.025181,-0.109783
13.46,259400,9.998186,1.953669,3.260903,-0.074609,0.023449,0.086867
27.82,273760,-0.081403,7.671022,4.635174,0.573427,2.44506,-0.133231
59.92,607160,7.465121,4.098873,6.224925,-0.042501,0.090597,-0.081404
8.66,440540,-0.373495,4.750096,7.996634,-0.234087,0.170003,0.001199
47.82,598680,1.551443,7.311892,11.03727,-0.346002,0.444459,-0.678547
59.46,606700,7.651869,4.299986,6.05733,-0.077674,0.013989,0.00373
5.94,1285460,6.962338,5.075707,5.884948,0.107518,-0.103654,0.013456
46.32,593560,7.402872,4.462792,6.263232,-0.070346,0.017853,0.006395
