Time(s),Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,activity,source_file,time_seconds
0.0,1279520,7.843405,5.252879,8.030152,-0.109649,0.191587,0.012391,cycling,cycling-gisela-01.csv,0.0
0.02,1279540,7.848193,4.711789,8.00621,-0.149885,0.229824,0.199847,cycling,cycling-gisela-01.csv,0.02
0.04,1279560,7.733272,4.687847,7.867347,-0.197049,0.198248,0.337874,cycling,cycling-gisela-01.csv,0.04
0.06,1279580,8.269572,4.984728,7.97748,-0.20824,0.043833,0.34347,cycling,cycling-gisela-01.csv,0.06
0.08,1279600,8.676587,4.874595,7.819463,-0.198381,-0.092995,0.245279,cycling,cycling-gisela-01.csv,0.08
0.1,1279620,8.274361,4.754885,7.570466,-0.211172,-0.218632,0.137361,cycling,cycling-gisela-01.csv,0.1
0.12,1279640,7.40766,4.625597,7.249643,-0.227825,-0.348133,0.031842,cycling,cycling-gisela-01.csv,0.12
0.14,1279660,6.947973,4.67827,6.732495,-0.249009,-0.448856,-0.065816,cycling,cycling-gisela-01.csv,0.14
0.16,1279680,6.473921,4.639963,6.445191,-0.275789,-0.493755,-0.1307,cycling,cycling-gisela-01.csv,0.16
0.18,1279700,5.846641,4.654328,6.263232,-0.279919,-0.47044,-0.165074,cycling,cycling-gisela-01.csv,0.18
0.2,1279720,5.137957,4.754885,6.335058,-0.255538,-0.340806,-0.199447,cycling,cycling-gisela-01.csv,0.2
0.22,1279740,4.620809,4.865018,6.306327,-0.266862,-0.17813,-0.245412,cycling,cycling-gisela-01.csv,0.22
0.24,1279760,4.951209,4.783615,6.291962,-0.279919,-0.092729,-0.278453,cycling,cycling-gisela-01.csv,0.24
0.26,1279780,5.468357,4.836287,6.23929,-0.308164,-0.063551,-0.269926,cycling,cycling-gisela-01.csv,0.26
0.28,1279800,5.468357,4.975151,6.449979,-0.310296,-0.039969,-0.269127,cycling,cycling-gisela-01.csv,0.28
0.3,1279820,5.588067,5.027823,6.789956,-0.310429,-0.019452,-0.295107,cycling,cycling-gisela-01.csv,0.3
0.32,1279840,5.832275,4.91769,7.149086,-0.28285,0.029977,-0.293109,cycling,cycling-gisela-01.csv,0.32
0.34,1279860,6.105214,4.898537,7.450756,-0.277121,0.084735,-0.252873,cycling,cycling-gisela-01.csv,0.34
0.36,1279880,6.459556,4.91769,7.37893,-0.326949,0.061286,-0.224894,cycling,cycling-gisela-01.csv,0.36
0.38,1279900,6.804321,4.984728,7.029376,-0.340806,-0.020118,-0.217034,cycling,cycling-gisela-01.csv,0.38
0.4,1279920,6.607996,5.003881,7.129933,-0.296839,-0.079406,-0.246345,cycling,cycling-gisela-01.csv,0.4
0.42,1279940,6.177041,5.257667,7.350199,-0.259002,-0.071945,-0.307764,cycling,cycling-gisela-01.csv,0.42
0.44,1279960,6.287174,5.60722,7.785944,-0.162942,-0.002931,-0.388369,cycling,cycling-gisela-01.csv,0.44
0.46,1279980,6.775591,5.645528,7.441179,-0.08287,0.037038,-0.431269,cycling,cycling-gisela-01.csv,0.46
0.48,1280000,6.880936,5.530606,7.13951,-0.053026,-0.009593,-0.383173,cycling,cycling-gisela-01.csv,0.48
0.5,1280020,6.59842,5.353435,7.07726,-0.006795,-0.054225,-0.298438,cycling,cycling-gisela-01.csv,0.5
