window_index,window_start_time,window_end_time,activity,source_file,AccelX_mean,AccelX_std,AccelX_min,AccelX_max,AccelY_mean,AccelY_std,AccelY_min,AccelY_max,AccelZ_mean,AccelZ_std,AccelZ_min,AccelZ_max,GyroX_mean,GyroX_std,GyroX_min,GyroX_max,GyroY_mean,GyroY_std,GyroY_min,GyroY_max,GyroZ_mean,GyroZ_std,GyroZ_min,GyroZ_max,accel_mag_mean,accel_mag_std,accel_mag_min,accel_mag_max,gyro_mag_mean,gyro_mag_std,gyro_mag_min,gyro_mag_max
0,0.0,2.98,cycling,cycling-gisela-01.csv,6.334610793333333,0.7155614225702902,4.242526,8.676587,5.337058666666667,0.6796299668983671,3.303998,7.192182,6.697124866666666,0.5317128425889255,5.568913,8.030152,-0.10855948000000003,0.12488310387076496,-0.340806,0.273124,-0.007949446666666663,0.22687445110505608,-0.59621,0.310429,-0.005203106666666682,0.2732895402748557,-0.49149,0.680012,10.69739101776422,0.5342654729536915,9.208150530140893,12.656572995521458,0.3583375360793437,0.15882259277572897,0.08018598562716556,0.7466650324348931
1,2.24,5.22,cycling,cycling-gisela-01.csv,6.597781433333334,0.3028031661868023,5.884948,7.503428,5.135179553333333,0.4148033663240859,4.094085,6.138733,6.6362482599999995,0.4123549161194262,5.999869,7.814674,-0.09902012,0.0906311107214971,-0.456717,0.034507,-0.008919400000000004,0.12327108731837054,-0.334011,0.233421,-0.026407333333333335,0.12585390030458157,-0.360923,0.253939,10.69062700300728,0.29131135396642377,9.947971158142598,11.618914424134855,0.2004479441426182,0.09824190666457537,0.018272495642358215,0.5566637426687676
2,4.48,7.46,cycling,cycling-gisela-01.csv,6.7546814600000005,0.32575102824479574,5.884948,7.613562,5.082443246666667,0.32051322935756094,4.429273,6.138733,6.45406552,0.31107935363637196,5.573701,7.283162,-0.08253316666666667,0.11331891700432113,-0.456717,0.211172,-0.010454219999999995,0.13818269668236902,-0.334011,0.3047,-0.02344428,0.12930242742718173,-0.360923,0.347734,10.644579405014326,0.3323474617138975,9.947971158142598,11.463021731761176,0.21324224033136369,0.10321408756086027,0.0387891663741308,0.5566637426687676
3,6.72,9.7,cycling,cycling-gisela-01.csv,6.815717633333334,0.3918052001169189,5.880159,7.924808,5.032452326666666,0.2902954497538096,4.448427,5.674258,6.464440426666667,0.2868368904305568,5.90889,7.211336,-0.08128078666666666,0.10966644463667007,-0.338807,0.156413,0.00033395333333333886,0.1013067813089421,-0.24781,0.273923,-0.02024494666666667,0.11366794753795148,-0.285115,0.213436,10.665887969023045,0.35702283452706973,9.898092258922373,11.48073170285801,0.18887249191038805,0.0809562399509373,0.04917230122741867,0.4349150255498193
4,8.96,11.94,cycling,cycling-gisela-01.csv,6.680110066666666,0.539917974658431,5.310339,7.963115,5.1549077866666675,0.3119548879037392,4.572925,6.186617,6.521262753333333,0.3446881133818211,5.822699,7.584831,-0.10285186666666665,0.08301521417344065,-0.338807,0.032908,-0.006545213333333332,0.12167173315160136,-0.24781,0.401825,-0.05430598,0.11405296483040793,-0.285115,0.211038,10.676555169836663,0.492564272169314,9.646390241416372,11.994874674384722,0.19687718014836128,0.09753705405623903,0.02029585989801861,0.4544094495694384
5,11.2,14.18,cycling,cycling-gisela-01.csv,6.616328546666667,0.6004589975799024,5.310339,8.255207,5.18169092,0.5726961374997451,3.524265,6.435614,6.530424573333334,0.5248005536362088,5.214571,7.70933,-0.08563660666666667,0.09963208688596238,-0.253139,0.177864,-0.019241286666666666,0.13456903714893392,-0.231556,0.401825,-0.022235419999999995,0.14882823563944533,-0.409819,0.326283,10.67113588471789,0.602474696985162,9.579827104288261,12.055722429923227,0.22465701575245745,0.08895345361333692,0.016386234497284602,0.4544094495694384
6,13.44,16.42,cycling,cycling-gisela-01.csv,6.86507012,0.42235092478747926,5.870583,8.255207,5.09227548,0.63402960052625,3.524265,6.411672,6.2749473,0.42730212952619756,5.214571,7.445967,-0.07937118666666665,0.11598716911235694,-0.283116,0.177864,-0.002465673333333334,0.11250259337499716,-0.197582,0.293375,-0.02441416666666667,0.15744937950416177,-0.409819,0.326283,10.627634842583424,0.5017564500034385,9.579827104288261,11.926625366111908,0.22690050425129518,0.07948736719404732,0.043778123098186836,0.4477661959494039
7,15.68,18.66,cycling,cycling-gisela-01.csv,6.778304273333333,0.5246996210370259,5.425261,8.106767,5.161611566666667,0.540824359337526,4.050989,6.382942,6.419588986666666,0.4415350768476722,5.592855,7.785944,-0.09009810666666666,0.08321058535548201,-0.227692,0.081937,0.01768244,0.11929866733536074,-0.23462,0.356127,-0.02638154666666667,0.11842989065921866,-0.328548,0.229424,10.68702826072905,0.5907168553568831,9.487277854114003,12.04365439250583,0.19634443070279586,0.0758749009260748,0.0372057023855215,0.379566537383105
8,17.92,20.9,cycling,cycling-gisela-01.csv,6.650134613333334,0.6035850172480735,5.027823,8.159439,4.987888260000001,0.5615275549892149,3.787627,6.315904,6.665521386666666,0.482399561126359,5.755661,7.900866,-0.07670385333333334,0.10441041115772487,-0.377178,0.163075,-0.0026593,0.15874644284038827,-0.337475,0.356127,-0.01657843999999999,0.1392030742076951,-0.34307,0.274856,10.678356072990839,0.6461764533498021,9.373239051877531,12.193848366650704,0.2323933692453138,0.08739669637801661,0.042037542363939404,0.4505004195525238
9,20.16,23.14,cycling,cycling-gisela-01.csv,6.86082438,0.4995309116002154,5.741296,8.169016,5.178402893333334,0.7393543804946506,3.979163,6.871359,6.254516779999999,0.5488312835191871,5.123591,7.412448,-0.08015988666666667,0.09975994230989621,-0.284982,0.179196,-0.007638579999999996,0.15647533482395962,-0.3913,0.338674,-0.0007336466666666682,0.17181162162543553,-0.416481,0.449922,10.668375401582292,0.5374997213682531,9.253004729644257,11.725486671620331,0.245995080959412,0.099632944047333,0.037073727247202974,0.5358315906999138
